Date / Time,City,State,Shape,Duration,Summary,Posted
4/16/20 17:30,Vancouver (Canada),BC,Circle,2 minutes,I looked up the sky from my rooftop at the aforementioned time/date and noticed 6-8 orbs like flying objects floating/flying very high,6/25/20
4/16/20 17:00,Castlegar (Canada),BC,Light,2 minutes,Stepped ouside and saw over 30 lights moving fast in various formations. ((Starlink satellites)),5/1/20
4/15/20 22:00,Prince George (Canada),BC,Formation,1 hour,2 main ships in glow followed by 2 sets of formations travelling together in fuzzy white glow,6/25/20
4/14/20 05:00,Nanaimo (Canada),BC,Light,10 minutes,A line of what appeared to be stars travelling from NW to SE above Nanaimo. ((Starlink satellites)),5/15/20
4/14/20 02:45,Powell River (Canada),BC,Light,10 minutes,"fast twinkling light hovering in night sky, colored red. (then poof gone after 10 minutes)",6/25/20
4/12/20 05:00,Surrey (Canada),BC,Circle,15 minutes,I noticed at first 3 lights flying above me at slow speed. Then i noticed 8 more behind them. ((Starlink satellites?)),6/25/20
4/9/20 11:00,Powell River (Canada),BC,Disk,3 minutes,Observed two glimmering craft over Powell River that faded and disappeared as a Coast Guard or military aircraft approached.,6/25/20
4/7/20 22:00,New Westminster,BC,Circle,15 minutes,"Points of Light Travelling Across the sky. ((""Starlink"" satellites??))",4/9/20
4/7/20 21:22,Nelson (Canada),BC,Light,2 minutes,"2 dim lights travelling in a line across the sky followed by 3 more in a triangle formation ((""Starlink"" satellites??))",4/9/20
3/30/20 23:00,Chemainus (Canada),BC,Unknown,2 minutes,Small red light searching threw the clouds,6/25/20
3/23/20,Keats or iGambier sland,BC,Light,2 hours plus,There was a a very bright light brighter than any I have ever seen at nite and it oscillated kind of Star like((NUFORC Note: Venus?PD),5/15/20
3/21/20 22:45,Langley (Canada),BC,Circle,5 seconds,"Walking the dog looked up in the sky and a pretty fair size white lit up circular object was flying at a high rate of speed downwards,",5/21/20
3/21/20 19:50,Enderby (Canada),BC,Unknown,5 minutes,"Approx. At 7:50 pm on March 21, 2020, I noticed two yellow lights in the sky overlooking the valley facing north from Saltwell Road, En",5/15/20
3/18/20 21:15,Vancouver (Canada),BC,Circle,10 minutes,Similar brightness to satellites over 30 circular lights moving slowly in a singular line from W to SE. ((Starlink satellites)),5/15/20
3/18/20 19:50,White Rock (Canada),BC,Oval,4 minutes,I was out on my deck looking south over Drayton Harbour (Blaine Washington) when i noticed a slow moving orange light moving N.,5/1/20
3/16/20 19:30,Vernon (Canada),BC,Light,18 minutes,"I looked up in the sky around 730pm and noticed a fast light heading east. I saw another heading the same direction 2 seconds after, my",4/9/20
3/16/20 09:05,Victoria (Canada),BC,Light,5 minutes,"Flash of light, steady stream of bright lights over Victoria . There were 60-70 crafts. Bright White line .((Starlink satellites))",5/15/20
3/15/20 21:30,Burnaby (Canada),BC,Formation,20-30,"This evening my husband took our dogs out side in our back yard facing north towards the mountains. ((""Starlink"" satellites??))",4/9/20
3/15/20 21:15,Lake Cowichan (Canada),BC,Sphere,10-15 minutes,"Belt of satellite-like stars 100-ish, two moved perpendicular to belt. Lasted 10-15 mins. ((Starlink satellites))",5/15/20
3/14/20 22:30,Qualicum Beach (Canada),BC,Triangle,15 minutes,"Huge Mother Ship like UFO , tringular shape, transparent/see-through, manifesting after a very weird shoothing star across the sky.",4/9/20
3/4/20 22:30,Osoyoos (Canada),BC,Oval,1 hour,"3 orbs - stationary. All in a row [similar to Orion's belt] -slight deviation. ((""Starlink"" satellites??))((anonymous))",4/9/20
2/20/20 06:15,Campbell River (Canada),BC,Triangle,8 minutes,"Observed at least 30 triangular (boomerang) like objects traveling In a NE line formation. ((""Starlink"" satellites??))",2/25/20
2/20/20 06:05,Victoria (Canada),BC,Light,11 minutes,"String of white lights travelling single file uniformly spaced. ((""Starlink"" satellites??))",2/25/20
2/19/20 19:00,Rossland (Canada),BC,Light,4 minutes,"I noticed what I thought was a sattlelight in the sky to the west of Orion but it disappeared. ((""Starlink"" satellites??))",2/25/20
2/19/20 05:50,Victoria (Canada),BC,Light,4-5 minutes,"They looked like stars travelling across the sky in formation. travelling west to east. ((""Spacelink"" satellites??))",2/25/20
2/19/20 05:30,Kamloops (Canada),BC,Diamond,10 minutes,"They are streaming across the sky slowly, in a line fro south to east and maybe over the city at high altitude. ((Satellites))",2/25/20
2/16/20 19:00,Vernon,BC,Light,20 minutes,"A group of 9 moving stars heading east that were popping into the sky one after another. ((""Starlink"" satellites??))",4/9/20
2/16/20 16:56,Langley (Canada),BC,,11:33,"I was on the phone with my mom, on my way home from Vancouver. She was on speaker phone and my 7 year old daughter was in the back seat",4/9/20
2/3/20 15:06,Whistler (Canada),BC,Disk,10 minutes,Tube shaped snow formation with 3 tan saucer shaped objects and bright pink spots on photo.,2/25/20
1/28/20 21:00,Anywhere (Canada),BC,Unknown,1 second,The sound of silence...,1/31/20
1/25/20 21:00,Queen Charlotte Island,BC,,5 minutes,"On a Alaska night flight from Seattle to Juneau AK. Midway in the flight my daughter ask me what was outside the window,I look of in th",9/4/20
1/24/20 19:30,Victoria (Canada),BC,Other,less than 2 hours,Multple sightings of slow-moving colored lights in night sky with one descent of red arced light to ground,6/25/20
1/17/20 17:48,Kamloops (Canada),BC,Light,5 minutes,"I saw through the windshield of my car,a very bright white light hovering stationary to the North,my right,as I faced West in the empty",4/9/20
1/6/20 00:23,North Vancouver (Canada),BC,Sphere,5 minutes,Two bright objects in southern sky,6/25/20
1/3/20 06:42,Kamloops (Kamloops),BC,Other,7 minutes,"((""Starlink"" satellites??))",2/7/20
1/1/20 17:30,Kelowna (Canada),BC,Unknown,4-5 minutes,"First 15 were on the same course and spaced very even. ((""Spacelink"" satellites??)",2/7/20
12/31/19 22:00,Balfour (Canada),BC,Other,3 minutes,Sky was heavily clouded no stars or moon could appear to be seen when me and my girlfriend had been unpacking our groceries from car at,2/7/20
12/24/19 15:45,Smithers (Canada),BC,Fireball,4 minutes,"My husband and I were walking our dog on Christmas eve. We look up and see a glowing reddish yellow ball in the sky, we joke and say it",2/7/20
12/17/19,Chilliwack (Canada),BC,,15 minutes,((NUFORC Note: Witness elects to provide no information about his sighting. PD)),2/7/20
11/27/19 20:45,Chilliwack (Canada),BC,Triangle,30 seconds,My wife was out having a smoke and asked if what she had seen was faint white balloons moving in sync. I came out and noticed it was no,12/19/19
11/25/19 05:55,Victoria (Canada),BC,Light,3-5 minutes,"Multiple (few dozen?) ;satellites in-line formation, gliding through sky in same direction.((NUFORC Note: ""Starlink"" satellites? PD))",12/1/19
11/25/19 03:30,Houston,BC,Triangle,Till daylight,There was a big bright colored triangle object hovering so wwe went to go look at it closer and thats when we noticed another and anoth,12/1/19
11/6/19 00:00,Vancouver (Canada),BC,Formation,40 minutes,Shimmering unidentified object sighting,12/1/19
10/29/19 07:00,Surrey (Canada),BC,Circle,~33 minutes,"Floating unusual lights seen in Surrey, Canada",12/1/19
10/29/19 07:00,Surrey (Canada),BC,Circle,20 minutes,Suspicious lights seen in Surrey this morning.,12/1/19
10/13/19 22:05,Surrey (Canada),BC,Chevron,30 seconds,6 lights moving in a perfect Chevron/triangle shape. Object(s) disappeared through a cloud.,12/1/19
9/30/19 20:15,Sechelt (Canada),BC,Light,30 seconds,A very high altetude fast passing object moved from south to north 2 to 3 times faster than a sattelite speed followed by another objec,10/4/19
9/4/19 22:21,Alex Frasre Bridge (Canada),BC,Cigar,10 minutes,I was traveling on my birthday from Vancouver to surrey when i saw a strange light in the sky hovering then it made a few fast manouver,12/1/19
8/18/19 16:00,West Vancouver (Canada),BC,Formation,10 minutes,Two long thin objects and one sphere. ((anonymous report)),8/23/19
8/13/19 20:15,Vancouver (Canada),BC,Teardrop,00:20,"One airliner sized teardrop object, hovering vertically near city.",8/23/19
8/5/19 01:00,Victoria (Canada),BC,Light,Ongoing,One unidentified object flashing white and red that appeared to be stationary began moving back and forth above the trees in horizon. W,8/23/19
7/30/19 01:11,Powell River (Canada),BC,Formation,15 seconds,"A friend and I witnessed a rigid, boomerang shaped formation of between five and ten lights glide silently over our heads.",8/23/19
6/29/19 23:50,Nanaimo (Nanaimo),BC,Sphere,1.5 minutes,Large rust brown faceted spheres,7/5/19
6/7/19 06:10,Langford (Canada),BC,Light,14 minutes,"Spotted flying in a orderly progression of lights flying in a straight line from W to E. ((NUFORC Note: ""Starlink"" satellites? PD))",12/1/19
5/29/19 18:40,Mission,BC,Disk,30 seconds,"While riding in the back seat of a friend's pick up truck on the upper level of the town, overlooking the highway and river, I saw one",6/27/19
5/26/19 22:30,Campbell River,BC,Unknown,2 minutes,Seven objects travelling in formation SW to NE. ((NUFORC Note: SpaceLink satellites. PD)),6/7/19
5/24/19 01:00,Nanaimo,BC,Other,2 minutes,Saw a strange train line line trail across the sky what appeared to be stars clumped in a trail. ((NUFORC Note: Satellites. Anon.PD)),6/7/19
5/24/19 00:20,Armstrong (Canada),BC,Cigar,2.5 minutes,String of lights drifting over Okanagan night sky.,6/7/19
5/22/19,Aldergrove (Canada),BC,Changing,nightly since January 201,object is very bright and has colorful lights it seems to be aware of being watched. ((anonymous report)),6/7/19
4/26/19 23:30,Nanaimo (Canada),BC,Fireball,15 seconds,Neon pink and blue fireball.,5/9/19
4/20/19 21:00,Keremeos (Canada),BC,Sphere,1 Minute,I seen the first ufo above the mountain it kept changing from a triangle to a five-point star shape. I watched it for 2 minutes.,5/9/19
3/5/19 21:00,Surrey/Langley,BC,Fireball,4 minutes,On Tuesday evening in Cloverdale BC at approximately 9 PM I walked onto my porch I couldn't believe my eyes there was approx. 12 roundi,3/14/19
2/24/19 15:00,Vancouver (Canada),BC,Circle,10 minutes,"Circular orb object over Stem cell Technology Vancouver, BC 75-100 witnesses",2/27/19
12/21/18 22:15,New Denver (Canada),BC,Circle,20 minutes,"A red glowing circle was sited above the top of a mountain, just N of the New Denver Glacier in the W Kootenays.",1/4/19
8/9/18 01:30,Burnaby (Canada),BC,Changing,2+ hours,"Slow-moving, huge worm-like object, changing shape every 30 seconds and changing colour from orange to silver.",8/10/18
7/15/18 17:30,Vancouver (Canada),BC,Formation,45 minutes,"11 white star like lights blinking/flashing & non-flashing for 40+ minutes in scattered formation, very very slowly moving.",7/19/18
7/6/18 13:00,Gabriola (Canada),BC,Cylinder,5 minutes,((NUFORC Note: Source of report provides no information. PD)),6/7/19
4/30/18 19:38,Burnaby (Canada),BC,Circle,10:00 minutes,2 black dots moving at normal speed. never seen anything like it. Moving south west to north east. I dont know if there were more then,5/4/18
4/15/18 22:19,Tenterden (Canada),BC,Unknown,several seconds,the third aircraft appeared to slow down change direction to investigate speeding flame tail. ((anonymous report)),4/19/18
4/3/18 23:30,Nanaimo (Canada,BC,Oval,2 minutes,Red/orange orbs in the sky over the ocean by neck point park. ((anonymous report)),4/5/18
1/23/18 21:30,Trail (Canada),BC,Unknown,~1 hour or less,"Flashing or moving bright blue-white light shines in window, neighbour describes being frightened by strange sound in night sky.",3/2/18
12/3/17 12:00,Langely (Canada),BC,Other,10 minutes,Black oval shape on the top of the ship connecting to a skinny rod also connecting to another side of the ship,12/4/17
11/10/17 16:09,Port Coquitlam (Canada),BC,Teardrop,5 minutes,"Black, teardrop shaped UFO flashing lights in the day sky. ((anonymous report))",11/17/17
10/31/17 21:00,Vancouver (Canada),BC,Sphere,5-7 minutes,2 bright lights seen high in the sky that changed into a dark large sphere and decsending. ((anonymous report)),11/3/17
10/25/17 20:27,Penticton (Canada),BC,Light,1-2 minutes,"Pair of large satellites spaced an outheld hand's thumb width apart, travelling rapidly on polar orbit, and much brighter than ISS.",3/21/19
10/15/17 18:10,Victoria (Canada),BC,Disk,20 minutes,"While my Mother and I watched the sun set in a clear sky over the Sooke Hills, a stationary disk appeared south of our line of sight.",10/19/17
9/23/17 20:45,Coquitlam (Canada),BC,Unknown,60 seconds,"String of Blinking Red, Blue, Green and White Lights Seen In Vancouver BC Suburb",9/28/17
9/16/17 14:00,Kamloops (Canada),BC,Oval,Quick,Quickly snapped photo and then proceeded to continue on. Checked the photos later in month and saw these. Sun shining off of object.,10/5/17
9/15/17,Vancouver (Canada),BC,Triangle,13-15 seconds,"Craft hoovering in one spot for a couple hours. ((NUFORC Note: We suspect a star or a planet, possibly Venus. PD))",9/21/17
8/10/17 03:10,Fernie (Canada),BC,Circle,15 minutes,"At ~3:10am, I saw almost like a flash of light on the other side of a tree. It was orange.",8/17/17
7/30/17 03:00,Victoria (Canada),BC,Light,<2 minutes,"Approx 0300, observed a fast moving light moving from NNW sky toward SE. Appeared to disappear as I watched.",8/4/17
7/27/17 15:00,Gibsons (Canada),BC,Disk,3-5 seconds,White crescent 'disc' seen mid-day in cloudless sky.,8/4/17
7/5/17 23:00,Mission (Canada),BC,,2 minutes,"Two small explosions in night sky, with what appear to be a satillite coming from area, then makes a u-turn in the sky.",7/7/17
7/5/17 01:36,Abbotsford (Canada),BC,Other,2.5 minutes,they looked just like a star ((NUFORC Note: Possible satellites?? PD)),7/14/17
6/25/17 23:32,Courtenay (Canada),BC,Light,3 minutes,"Object looked like a star and was in the distance, on the horizon. It started to move slowly to the left. ((anonymous report))",7/7/17
6/25/17 21:00,Maple Ridge (Canada),BC,Cigar,30 minutes,White cigar shaped slow moving and sometimes stationary object.,7/7/17
6/25/17 19:00,Inside Passage (Canada),BC,Light,20 minutes,"Bright lights in the sky off the horizon slowly moving sideways, then dropping and fading.",12/21/17
6/10/17 01:00,Nanaimo (Canada),BC,Light,>15 minutes,"3 blinking lights in sky, not moving. ((anonymous report))",6/15/17
5/26/17 23:00,Sooke (Canada),BC,Circle,3 minutes,Slow moving circle of light.,6/9/17
5/6/17 04:50,Mojave (Canada),BC,Light,1:00,"Light in sky stationary. Not an a/c, or any known star. Flickering in brightness. ((NUFORC Note: Possibly Venus. Anonymous. PD))",5/6/17
4/30/17 22:00,Engen/Vanderhoof (Canada),BC,Light,2 hours,Numerous star-like lights moving in all directions. spanning across the night sky.,4/8/19
4/27/17 19:30,West Kelowna (Canada),BC,Other,1 minute,Several glowing orbs 'dancing' in the sky.,5/6/17
4/25/17 22:45,Nanaimo (Canada),BC,Circle,30 minutes,"Flashing lights hovering over mountain for 30 mins., multiple nights.",4/28/17
4/23/17 01:05,Richmond (Canada),BC,Fireball,12 minutes,"Huge fireball orb above YVR Airport Vancouver, Canada.",4/28/17
4/2/17 16:55,Victoria (Canada),BC,Circle,30 seconds,I was looking out my living-room watching float planes coming into the harbor for a landing to the north one round black orb around 300,4/7/17
2/22/17 20:50,Bowen Island (Canada),BC,Egg,15 minutes,I saw what looked like I though a meteor heading towards me. ((anonymous report)) ((NUFORC Note: Venus?? PD)),3/10/17
12/25/16 22:30,White Rock (Canada),BC,Sphere,5 minutes,"3 red orbs seen over Blaine, WA.",8/11/17
11/21/16 23:15,Victoria (Canada),BC,Other,10 minutes,"A moving glow from something above a cloud over Victoria, BC.",12/5/16
11/19/16 19:00,Victoria (Canada),BC,Oval,evening,Orange/red sun like oval very bight below the clouds.,12/5/16
11/9/16 18:15,Fort Fraiser/Vanderhoof,BC,Light,2-6 seconds,Traveling East on HWY 16 between communities when the event occurred. Started off as a single green/blue light when it entered my line,11/11/16
10/31/16 11:40,Cracroft Island (Canada),BC,Cross,15 minutes,several solid objects in clouds over Cracroft point. BC,11/4/16
10/9/16 21:00,Port Clements (Canada),BC,Other,30-40 seconds,Looking up walking from my moms to my house next door lighted x no sound.,10/11/16
10/9/16 21:00,Langley (Canada),BC,Light,5 minutes,Red object with flashing rays seen by 2 people out their back porch.,10/11/16
10/9/16 20:37,Prince Rupert (Canada),BC,Other,2 minutes,Temporary big red flashing star.,10/11/16
9/22/16 22:00,Nanaimo (Canada),BC,Disk,3,A strange object in the sky above mount benson.,7/23/17
9/20/16 19:09,Burnaby (Canada),BC,Circle,<10 seconds,"I was shooting the cloud of sunset by using my iPhone and iPad , finally I found it in my images. And it is pretty clear, bright,, yell",9/22/16
9/3/16 20:46,Parksville/Nanaimo (Canada),BC,Light,20 minutes,Several UFOs buzz cruise ships in waters off Vancouver Island.,9/9/16
8/11/16 19:10,Squamish (Canada),BC,Other,45 seconds,"Large Square flying object constantly rotating while flying or hovering, with lights, and no sounds from it.",8/16/16
8/4/16 19:37,Kamloops (Canada),BC,Changing,3 minutes,Flying object outside of aircraft.,8/16/16
7/28/16 17:55,Milner (Canada),BC,Light,35 seconds,Rolling rapid white light moved rapidly across the lawn. ((anonymous report)),8/2/16
7/24/16 01:30,Canada (west coast; Alaskan cruise),BC,Oval,5 minutes,Yellow orbs seen while on an Alaskan cruise.,12/5/16
7/16/16 23:30,Sooke (Canada),BC,Circle,15 seconds,Bright green sphere with long trailing tracer making 90 deg turns moving at a very high rate of speed across the night sky,7/22/16
7/15/16,Mount Pleasant (Canada),BC,,45 seconds,Crazy bright and warm shaft of light shining down to earth from outerspace,11/30/18
7/4/16 03:30,Nanaimo (Canada),BC,,2 minutes,"I went outside for a smoke, looked up to admire stars...and I saw a star darting in and out.....drifting too fast.",7/8/16
7/3/16 01:30,Surrey/Burnaby (Canada),BC,Unknown,10 minutes,Blue crown light formation over Burnaby.,7/15/16
5/2/16 08:20,Walnut Grove (Canada),BC,Disk,3 minutes,2 discs glowing a brilliant silver- white in the sky sitting stationary.,5/6/16
4/28/16 19:30,Sooke (Canada),BC,Cylinder,2 minutes,thank you Peter for all your great work. Coast to Coast Insider here. This was an amazing event. I was driving and proximately 50 km/h,10/6/18
4/23/16 21:40,Newport Beach,BC,Triangle,5 seconds,UFO sighting 04/23/2016.,9/21/17
4/18/16 21:00,Langley (Canada),BC,Light,~1 hour,Glimmering ball of light seen low on horizon. ((NUFORC Note: Possible sighting of Sirius?? PD)),4/22/16
4/16/16 18:00,Vancouver (Canada),BC,Sphere,3-5 minutes,Disc or spherical object moves over activity occurring on roof of tall building; appears to observe activity.,4/22/16
4/11/16 22:15,Duncan (Canada),BC,Fireball,15 minutes,"April 11, 2016 Vancouver Island sighting of amber fireball orb witnessed by 2 civilians and 3 fighter pilots.",4/9/20
2/27/16 23:00,Bowser (Canada),BC,Circle,2 hours,I have a 2-hr recording of a completely stationary object in the sky. ((NUFORC Note: We suspect a star or planet? Sirius?? PD)),1/12/17
2/26/16 00:50,Vancouver (Canada),BC,Disk,1/1 minutes,"I observed UFO through 15x70 binoculars, so close that I could see black dust on the walls of the ""vehicle.""",3/4/16
2/18/16 21:00,Victoria (above)(Canada),BC,Light,20 seconds,ZIG ZAGGING SATELLITE EVENTUALLY MAKING A TURN OVER CLOUD COVER,2/26/16
2/9/16 00:45,Delta/Tsawwassen (Canada),BC,Sphere,5-10 seconds,"Blue-green sphere appears over the ocean, hovers for a few seconds, before shooting off, and vanished.",2/19/16
2/8/16 23:00,Maple Ridge (Canada),BC,Unknown,5 minutes,Sitting on my deck between 11:55 pm and until 12:00am approximately. First saw 4 orange lights low moving together at plane speed or fa,2/11/16
1/13/16 18:45,Kamloops (Canada),BC,Unknown,1-2 minutes,"Massive dome shaped bright brilliant blue light, like a huge welding arc spanning a massive distance on the hor., of crown land.",1/14/16
1/6/16 21:30,North Vancouver,BC,Disk,15,"We saw a giant silent floating disc hovering above Deep Cove's marina inlet in North Vancouver, shining very bright lights around.",1/8/16
1/6/16 21:30,North Vancouver (Canada),BC,Disk,1-2 minutes,"Giant mother ship sighted in Indian Arm-Mount Seymour side, from Deep Cove.",1/14/16
1/4/16 06:30,Fort St. John (Canada),BC,Light,30 seconds,Flash of light a white beem at the end opened a blue starshap opening and vanish,2/19/16
12/25/15 00:00,Port Coquitlam (Canada),BC,Sphere,5-10 minutes,Lights going by orange balls.,1/5/16
12/23/15 21:00,Kimberley (Canada),BC,Light,20 minutes,"Strange, intense, blue light, disk-shaped, over Kimberley, BC, on 23DE15.",1/5/16
12/19/15 18:05,Victoria (Canada),BC,Light,2 minutes,"Orange light/glowing orb moving across the sky, 90 degree, turn and then disappeared.",12/21/15
12/4/15 18:30,Victoria (Canada),BC,Light,30 seconds,"Large, bright, orange orb like lights seen low on horizon.",12/10/15
11/29/15 00:00,Victoria (Canada),BC,Triangle,2 hours,"Triangle shape, twinkling lights, floating, no sound. ((NUFORC Note: We suspect a sighting of planets in the E sky. PD))",12/3/15
11/27/15 00:15,Vancouver (Canada),BC,Light,Ongoing,"Bright star like object changing blue green red south east of Vancouver, BC. ((NUFORC Note: Sighting of Sirius? PD))",12/3/15
11/24/15 18:30,Nanaimo (Canada),BC,Light,now,3 lights moving east from sw Nanaimo just point of light but are blinking on and off you can't miss them.,11/26/15
11/9/15 16:30,North Vancouver (Canada),BC,Sphere,1 minute,Fireball? Disc falling down with fiery jets out the back....lasted far too long to be a meteor and seemed very consistent in brightness,11/19/15
11/7/15 21:00,Bowen Island (Canada),BC,Fireball,15 minutes,12 Orange UFO's that looked like fireballs.,11/19/15
10/9/15 03:00,Kamloops (Canada),BC,Triangle,6-7 minutes,Low triangle craft at 500 feet witneseds by 50 people including 3 Royal Canadian Mounted Police,10/16/15
9/27/15 21:00,Maple Ridge (Canada),BC,Fireball,1.5 mins,Orange fireball sighted while watching eclipse,10/2/15
9/27/15 19:30,Whiskey Creek/Parksville (Canada),BC,Changing,10 minutes,A flying object of light was spinning while changing colour and speed of silent movement.,9/29/15
9/12/15 05:45,Vancouver (Canada),BC,Circle,hours,It is so bright in the sky to still be there during the sunrise. ((NUFORC Note: Venus and Sirius?? PD)),9/17/15
9/1/15 22:00,Kitimat,BC,Triangle,5 minutes,Three light triangle moving and revolving slowly.,9/11/15
8/20/15 23:00,Whiskey Creek/Parksville (Canada),BC,Changing,1 hour,Three wondering red patterns in the sky.,8/27/15
8/8/15 23:15,Cranbrook (Canada),BC,Light,1 minute,Satellite-like fireball object traces sky then deminishes to faint moving light.,8/13/15
6/19/15 12:15,Kelowna (Canada),BC,Changing,33 minutes,Took picture of bright orb and on picture you can see faint outline of a disc shape,7/6/15
6/11/15 03:30,Kamloops (Canada),BC,Cylinder,5 minutes,"A craft bursted out from Venus, orange lights and a red blinking light on a circular fast moving object.",6/15/15
6/1/15 17:41,Kelowna (Canada),BC,Cone,3 minutes,Red cylinrical object in sky.,6/24/15
5/21/15 09:30,Creston (Canada),BC,Other,10-30 seconds,Barbell-shaped craft hovers over mountain/highway prior to moving due north at incredible speed.,5/20/16
5/19/15 22:30,Nanaimo (Canada),BC,Light,>1 hour,Looking southeast from my front deck I saw a flashing light in the clear night sky. It was about 20 degrees above the horizon. It mov,5/22/15
5/1/15 21:55,Deep Cove (North Vancouver)(Canada),BC,Light,2-3 minutes,Bright flash/pulse of light travelling across the sky and changing direction several times.,5/8/15
4/14/15 21:00,Kamloops (Canada),BC,Formation,30 seconds,4 what looked like Satellites following each other. ((NUFORC Note: Retraction--Satellite launch. PD)),4/17/15
4/12/15 21:30,Sooke (Canada),BC,Flash,15 seconds,Flashes of light coming from single point in the night sky and not travelling as a satellite would do.,4/23/15
4/5/15 20:45,Victoria (Canada),BC,Oval,1 second,"Orange orb appears over Victoria, BC.",4/8/15
4/2/15 17:30,Salmon Arm,BC,Disk,20 minutes,"Massive grey saucer shape, low altitude, moved towards me",5/8/15
3/9/15 22:00,Westbank (Canada),BC,TRIANGULAR,<1 minute,Low flying triangular sighting with 3 orange lights.,3/13/15
3/8/15 11:00,Vancouver (Canada),BC,Circle,30 minutes,"UFO appears in chemtrail over Vancouver, BC. ((NUFORC Note: Possibly a multi-colored kite, we suspect. PD))",3/13/15
2/18/15 21:28,Parksville,BC,Light,5 minutes,"3 lights over Parksville, BC.",2/20/15
2/17/15 20:30,Maple Ridge (Canada),BC,Light,10 minutes,Two Bright Orange Lights in Evening Sky.,2/20/15
1/1/15 00:20,Chilliwack (Canada),BC,Circle,30 seconds,New Years at 12:20 am my fiancé and I were in Bed listening to the New Years celebration going on around us as we live off Ryder lake,1/7/15
10/16/14 18:00,Langley,BC,Circle,2 seconds,Round dark black vibrating solid object looking south towards early eve sky caught it in some pictures -it was there then gone,11/6/14
10/10/14 17:45,Maple Ridge (Canada),BC,Sphere,~15 minutes,"I was just looking out at a very clear night sky. When a red pulsing light flew fairly close to my western view of the sky, maybe even",11/14/14
10/1/14 15:00,Vancouver (Canada),BC,Formation,1 minute,"Saw 4 helicopters following something in Vancouver, BC.",11/6/14
9/28/14 21:00,Nanaimo (Canada),BC,Oval,45 minutes,"Large circular/ovoid object, w. 4 others, bright flashing lights, in night sky over Nanaimo,BC, Canada",10/3/14
